DISTRITO_NORM,PROVINCIA_NORM,ANIO,MES,ESTRATO,PRODUCCION
COCACHACRA,ISLAY,2021,3,PRODUCTOR MINERO ARTESANAL,0.0
COCACHACRA,ISLAY,2021,4,PEQUEÑO PRODUCTOR MINERO,10808.24
COCACHACRA,ISLAY,2021,4,PRODUCTOR MINERO ARTESANAL,2163.3
COCACHACRA,ISLAY,2021,5,PEQUEÑO PRODUCTOR MINERO,3541.52
COCACHACRA,ISLAY,2021,5,PRODUCTOR MINERO ARTESANAL,1423.36
COCACHACRA,ISLAY,2021,6,PEQUEÑO PRODUCTOR MINERO,8980.64
COCACHACRA,ISLAY,2021,6,PRODUCTOR MINERO ARTESANAL,1563.37
COCACHACRA,ISLAY,2021,7,PEQUEÑO PRODUCTOR MINERO,7407.639999999999
COCACHACRA,ISLAY,2021,7,PRODUCTOR MINERO ARTESANAL,1681.0
COCACHACRA,ISLAY,2021,8,PEQUEÑO PRODUCTOR MINERO,7728.629999999999
